# lang=ro
cat	floor (storey)
răgoritură	hoarseness
rămășelnic	debtor
răpăluire	repair
răpăreție	rapacity
răriștiș	glade
răspunzătate	responsibility
răstignitură	crucifixion
răsufluș	breath
răsunătură	a noise with an echo
răsâpiciune	waste
răsădeală	seedling
sarabalie	group, band, gang
sarcomiom	myosarcoma
schilă	cur, mutt, pooch
scorburire	hollowing
folomocar	arsonist, incendiary
forfăială	bustle
francmasonie	freemasonry
frecălău	rolling pin
frențuș	syphilis
fructoare	vegetable
frântoare	work, labor
frăncuială	bribe
frăsire	bustle
frășcău	lad, youth
frățenie	brotherhood
frățânătate	brotherhood
fuiag	adobe
fumăgău	large quantity of smoke
funceu	rope, cord
fundamec	foundation
furdoană	drill
furgăseală	stealing
gărgălan	throat, larynx
gărășiță	crucian carp
gătin	chain
găunei	horsefly, gadfly
găzdan	rich man
hamân	shochet
deportațiune	deportation
desnervare	denervation
demândăciune	order, command
demăsurare	measurement
derecaie	duvet
dezancolare	detachment
dezmeticiune	coming to one's senses
dezmâniere	calming
dezmăcinare	torture
deșegubeț	lawbreaker
diaconă	deacon's wife
dinordosare	improvement
delabrare	deterioration
damaschinură	Damascene
damaschinărie	damascening
căsoică	pantry
căstânie	chestnut tree
cătușare	handcuffing
cătușire	handcuffing
căsapniță	abattoir, slaughterhouse
cărvăsărie	customs office
căpătușcă	kerchief
covițăitură	pig squeak
coxartrie	coxarthrosis
coxodinie	coxalgia
coșovean	carter
crampău	pick, pickaxe
crasnă	beauty
crașcadău	a seller or dealer of horses
credenț	dresser
cremenire	stillness
creștinie	Christianization
crifan	pillar
crihin	cherry plum tree
crihină	cherry plum
croafenă	doughnut
croncăit	croak
croncăneală	croak
crontir	glass flask for drinks
giușcă	black-headed gull ()
ghibiroancă	potato
ghidușlâc	joke, trick, buffoonery, drollery
ghigar	swineherd
ghincar	thistle
fărmăcăciune	a magic spell, charm.
fărobrăzie	impertinence, insolence
fâțâitură	fussing
făcălete	rolling pin
paingânăraie	cobweb
paisăc	furuncle, boil, abscess
pajimă	carrying pole
palațandră	prostitute
papugerie	fraud
parachinisis	incentive
paragrafie	prescription
paragrafisire	prescription
paralipsă	preterition
paratunet	lightning rod
pardositură	flooring
ospețărie	hostelry
ospețean	wedding-goer
organisire	organization
obsidiune	siege
ocinat	inheritance
ocinătoriu	inheritor
ocnar	convict
odobâncă	hole, pit
ogodință	pleasure
ogrădean	servant
ogârcău	cucumber
oleac	devil
oloș	dwarf
omestitură	digestion
omlituit	marcottage
onestie	honor, integrity, honesty
opilație	obstruction
opincărime	peasantry; the totality of peasants
oprac	place, location
opredelenie	decision
osârduință	ardor
palpit	palpitation
panganet	bayonet
paorat	agriculture
țânțoșenie	pride, arrogance, vanity
țârțărel	vetch
țipeicar	shoemaker
țirulic	barber surgeon
țitră	lemon
țepter	sceptre
țerțin	pair of compasses
grobiște	cemetery
grohotic	pig, hog, swine
grumuleu	peak, summit
grăpătoare	cemetery
gvalt	violence, force
cărăbușă	female cockchafer
cătărambă	old woman
cătărigi	aspic
cătărigie	adolescence
drăcoaie	female devil
alduială	blessing
alduire	blessing
alnicie	cunning, slyness
amartol	armatole
amorezare	falling in love
amuțitură	muteness
amărie	bitterness
anghilest	Octoechos
angliuș	English
angoasare	worry
autoadmirat	self-admiration
cucuiză	blueberry
cuglărie	bowling alley
cuinăreasă	female cook
cumină	crownvetch
curcănărie	police
curdismă	order
curmalău	large being, monster
cânepiștină	hemp field
cânfi	purple
cânjel	snare
curcubiță	rainbow
căldărâmar	paver, cobbler
călugăret	monks collectively
cărnec	pigsty
căzăire	barking
căzăit	barking
daicar	beggar, mendicant
dobânziu	usurer, moneylender
dogorime	intense heat
dovadnic	witness
dovedeală	proof, evidence
amiază-noapte	north
argalie	tool, instrument
arhipresbiter	archpriest
brehnace	goshawk
camatnic	usurer, moneylender
cansiu	purple
carfiol	cauliflower
cetvert	quarter, fourth
chiclu	a circle
chitos	whale
cliserniță	oratory
clisier	sexton, sacristan
compromisariu	referee
confiscarisire	confiscation
cotiște	hamlet
dirmea	kerchief
eretocrisie	arbitration
magazier	shopkeeper
maghistrator	magistrate
luotoare	bucket, pail
magheniță	witch
malahiu	masturbator
molastină	swamp
moldoromân	Moldo-Wallachian
morcotitor	nagger
moșian	free peasant
măistorie	profession, handicraft, trade
măsoriște	measurement
nemoralitate	immorality
netâmplare	absence
oprăvuire	raise
orednic	ruler, leader
orândăluire	lease
ospețire	hospitality
osârduire	industry
parișoșir	guardian
pempiusie	quintessence
peșchin	dough
plânsare	crying, weeping
pohlibuitură	flattery
polobocar	cooper
povățător	guide
preființă	presence
preneputințaruș	plenipotentiary
pușcăleață	toy gun
băntălire	offence
bărateș	comrade
băsmuială	tall tale
măzăriștină	pea field
lotcagiu	boatman
lotcar	boatman
lotrușag	outlawry
lucietură	flatness
lucioșie	clarity
luntrar	boatman, ferryman, riverboatman
lutariu	clay pit
lăcramă	complaint
mozavirire	defamation
moțare	adorning
mucenicariu	martyrology
mucenire	martyrization
mucenitor	executioner
muieriș	womankind
muierlâc	womankind
mulzăraș	milker
simperasma	conclusion
simțitură	feeling
sigureală	certainty
slavitate	Slavicism
slugănie	servant, domestic
slugăret	collective noun for servants
slăbeală	weakness, feebleness
slăvitură	glorification
spinărău	snake
spionlâc	spying, espionage
sporovăire	chatter
sporovăit	chatter
sportist	athlete
spumuță	sour cream
spițiale	pharmacist
splanhnectomie	splanchnicectomy
spărgăluială	breaking
stejărime	oakwood
stihurime	poetry
stimător	admirer
stocărie	carpentry, woodcutting
stolerie	carpentry
stoliditate	stupidity
storsoare	diarrhea
strucitură	squashing
străbălare	debauchery
străformație	transformation
străjnicie	watch
strămoșire	inheritance
strămoștean	inheritor
strămuraș	scion
sucăcioaie	female cook
sucăleață	rolling pin
sud-ost	southeast
sulughiț	icicle
supliciere	torture
suptșpan	subprefect
sărbezenie	pallor
trăscălie	lunacy
trădanie	tradition
trăducăciune	translation
trudnicie	work, labor
tufărime	shrubbery, bush
tufăriște	hazel groves
troșenire	hoeing
trubaci	trumpeter
adăpostitură	shelter
voluminitate	volume
vorovanie	agitation
vruh	cockchafer
uvajenie	consideration, respect
uzbăială	faith, trust, confidence
terânbleh	tinplate
teorisire	verification
teocapil	heretical
romanticitate	romanticism
păzarliu	townsfolk
sinichesion	marriage, wedlock, matrimony
soială	dirt, filth, grime
studietoriu	researcher
stârpime	sterility
sărmănie	poverty
tahvil	receipt
tamojnă	customs
tencuitură	plaster
teosevie	faith, belief, creed
tringhelt	tip, gratuity
marmurist	marble worker
maruflare	marouflage
matină	matter, concern
matână	grandmother
mazgă	hinny
mangalizator	charcoal maker
maniheu	Manichaean
manuducere	guidance
manuducător	guide
mapografie	cartography
marchion	margrave
lungitură	prolongation
lunguire	stretching
pricoapsă	prosperity
prelucire	radiance, luster
premugere	devil
prenoială	repair
prenoire	reparation
prepel	male quail
presădire	seedling
pretermisie	preterition
pretândă	pretension, claim
prevegheu	overseer
președere	moderation, chairing
prihoadă	ghost, phantom
prijanie	support, assistance
procatorie	profession of lawyers
procatorit	profession of lawyers
proțestaș	litigious person
prădaș	robber, looter
pângeală	keeping, preservation
pânzuială	shroud
pârlăcie	quackery
păcostenie	trouble
păcăuț	tenant
păguri	freckle
pălăitură	flicker
pălălaică	blaze
pălăvăcăială	chatter
pătrunzătate	penetration
pășcălău	lad, youth
racob	carrier
recvizitor	archivist
rangăt	noise
rușculiță	fox-and-cubs
râmneală	greed
rândunic	male swallow
rândunioc	male swallow
râznar	haulier
răducere	resemblance, similarity, similitude
răgăduială	respite
răscheie	door handle
răschidă	quarrel
răscogea	fireweed ()
răsfăciune	spoiling
răspierzare	disappearance
răsplai	pencil
salită	snail, slug
primul venit, primul servit	first come, first served
sască	valley
suicidere	suicide
sultoi	foundation
suspecțiune	suspicion
sămădușag	accountancy
temeliitoriu	founder
teorist	theorist
terapeutist	therapeutist
teretină	speed
teberu	offering
tatuație	tattooing
tanău	witness
strălucitură	radiance, luster, glint
străluminător	preacher
strămoină	fallow
străformare	transformation
strămunte	mountain
străstuială	work, labor
străstuire	work, labor, toil
străvestire	disguise
străvăzătură	transparency
stupinar	beekeeper
sturzoaie	female thrush
sturză	female thrush
stârnitură	fable
stârpeală	abortion
stăceală	earnings
stărlici	slippers
subamiază	lunch hour
subiscălire	signing
subtrăgăciune	decrease
sugărice	baby bottle
supărătură	trouble, vexation, irritation
supșag	habit
sâlță	snare
sâmbrare	accompaniment
sâmbrășie	comradeship, fellowship, partnership
săblăznitor	sinful
săcuitor	robber
sămostrea	crossbow
săpunare	soapwort
sărdac	a kind of peasant's coat
sucluitură	habit
tabacherniță	cigarette box
tabunel	parcel of land
tamburiță	tambourine
tanzimat	reform
tremuriște	aspic, meat jelly
tremuruș	a shake, tremble, shiver
trepici	tripod
tresură	letter
trienat	triennium
triolă	triplet
triper	gonorrhea
trombocitoză	thrombocythemia, thrombocytosis
tașmău	bat, bludgeon
veringhel	common kestrel
vermașină	machine gun
vernisare	exhibition
vertebrație	support
verștat	workshop
verșunie	fierceness
veselire	exhilaration
veselărie	crockery, dishes, dishware
vespertiliu	lilac
vestalină	vestal
covali	blacksmith, smith
cronțăială	munching
cronțăire	munching
fidanțare	engagement
flocoșiță	Yorkshire fog
acolisi	to hound someone, to pester
acolisire	pestering
acolisit	pestered
acolisitură	insistence
acoperitură	covering
dermeli	to instruct
dermeli	to tame
dermelire	instruction
dermeneală	wearing out
derulat	unfolded
descalificator	disqualifying
descruci	to uncross
descrucișat	uncrossed
descuama	to shed skin
descununa	to divorce
descutropi	to uncover
descăiera	to break up a fight
descăuna	to dethrone
descăunare	dethroning
aburcat	climbing
adolescentinism	teenagerhood
desprejura	to untie
lesnire	facilitation
liberolemnos	liberoligneous
lignoceluloză	lignocellulose
lignificat	lignified
limnobiologie	limnobiology
linciuri	to splash around
linciurire	splashing
lingușit	flattered
lingărire	tasting
lingărit	tasted
logolatrie	logolatry
morfofiziologic	morphophysiological
morfofiziologie	morphophysiology
morfosculptură	morphosculpture
morfostructură	morphostructure
morfologist	morphologist
morfoscopie	morphoscopy
motocrosist	motocrosser
motodrom	speedway
motorcadă	motorcade
moxibustie	moxibustion
multicaul	multistemmed
multietajat	multifloored
multisilab	polysyllabic
mumificator	mummifying
muntăriță	milkmaid
muscicapidă	muscicapid
oofit	oophyte
opiofagie	opiophagism
osteofibrom	osteofibroma
oxhidric	oxyhydrogen
ozonifica	to ozonify
pancronic	panchronic
panoftalmie	panophthalmitis
stereotipism	stereotypy
strădănuire	effort
înhățat	grabbed
înflorare	adorning with flowers
încovoia	to curve
încovoiere	curving
încotoșmăna	to bundle up
împărățire	reign as an emperor
împricina	to sue
împopora	to populate
xantomatos	xanthomous
wagnerism	Wagnerism
voscreasnă	resurrection hymn
vaccinostil	vaccinostyle
unicotiledonat	monocotyledonous
ulceroid	ulcerlike
uitucie	forgetfulness
tăvăli	to roll
teleghidare	remote control
tehnologizat	technologized
subramură	subbranch
migoroșelnic	painstaking
cârmuit	ruled
cârpăcitor	patcher
căciuli	to kowtow
căciulire	kowtow
căciuleală	kowtow
cămășui	to clad
cămășuială	cladding
cămășuire	cladding
cămășuit	cladded
călătorire	a trip
căsăpit	butchered
cătrănire	tarring
cătrănitură	tarring
cățeli	to mate
dantolog	an expert in Dantology
decarboxilare	decarboxylation
rapidist	a fan of Rapid Bucharest football team
stiglețică	female goldfinch
stranietate	strangeness
straigiu	furrier
strajniță	watchtower
edenian	Edenic
efemeia	to feminize
grumbiște	potato field
salahorit	daywork, day labor
adevărare	truth
aiept	elan, ardor, zeal
alcalizat	alkalinization
directețe	directness
drumărire	travel
drumărit	travel
drâmboaie	harmonica
drăcean	devil
drăgulaș	lover
duhalmă	giant being
duhnet	miasma
durbeniță	bedbug
dălăcit	anthrax
dămândăciune	order, command
miorcoteală	croaking
mirac	miracle
mirază	mirror
miresmare	fragrance
miroseață	odor, scent, fragrance
mișcoce	louse
mișelință	vileness
micșorătate	pettiness
mocofănism	rudeness
mofluzenie	bankruptcy
mofluzire	bankruptcy
moftolog	trifler
molcomenie	humility, humbleness
moleșitură	languor
molăiață	languor
spichinat	lavender
spărgătură	breach, break, rupture
stavilarisire	damming
bulboacă	whirlpool, vortex
puhăvie	bloatedness
Istru	Danube
cazamâc	measles
ceapucluc	cunningness
cearcagiu	avant-garde soldier
chiulhangiu	stoker in a Turkish bath
donluc	a piece of cloth for sewing a dress
haznatar	treasurer
hochiumat	order of the Sultan to the qadis
hogeghean	second rank clerk in the Ottoman Empire
ieliță	a cold wind
inigea	a kind of Turkish finely-cut tobacco
intisap	dependency
lobut	a short and thick stick used by the Ottoman soldiers
meșelic	oakwood
mirimiran	Ottoman provincial governor
multezim	an Ottoman tax collector who kept part of the tax revenue
muzecherea	a note
mușir	Ottoman marshal
suiulgiu	administrator of the public fountains
tahregiu	clerk in charge of Ottoman land registers
tarciniu	cinnamon-colored
tapâuri	deed, property documents
tefaric	a precious object
posesuitor	possessor
posesui	to possess
pâslărie	feltmaking
pâsâi	to call a cat
pui de baltă	frog legs
chilâf	sheath
ciudire	wondering
ciuf	several species of owls
ciulit	having ears raised
ciuntit	amputated
musulmanism	Mohammedanism
nemoarte	immortality
verbalitate	orality
zatocenie	exile
zdrobiciune	qualm, scruple, remorse
borneu	haversack
ceință	quality
consoț	consort
copilăret	childkind
fireș	natural
oficiolat	territory
poeticale	poetic works
poliorchisi	to besiege
pretendelui	to pretend
propozui	to propose
prăvălitură	rolling downhill
psifisi	to elect by vote
pusătură	location
varvarime	a crowd of barbarians
vegetarism	vegetarianism
verdian	Verdian
horvat	Croatian
horholină	frivolous woman
oloierniță	oil press
organisi	to organize
padiment	wooden flooring
pampușcă	pampushka
clenodiu	jewel
cleron	bugle
clămpănit	clinking
comiție	committee
contău	account
eolină	harmonica
israiltean	Israelite
somnărie	somnolence, sleepiness
tisău	girdle
virilion	beryl
vodiță	consecration
vânzar	traitor
văduvar	widower
zalfă	a common cold
zugrăvie	painting
zămintitură	confusion
răsun	resonating noise
sighiartău	beltmaker
spumătoare	foam spoon
tinerie	youth
tocmiș	engagement
ughi	gold coin
zbânțuit	frolicking
zguduială	shake
șomerie	unemployment
șpațir	a walk
șuncărie	sausage shop
neastâmpărare	impatience
fleșcărie	mud mixed with water and snow
ferință	dodge
feșteală	paint
flaută	flute
clăcan	feudal peasant who had to do corvee on the landlord's estate
adevărătate	truth
aperceptivitate	perceptibleness
biomicină	aureomycin
cosăcire	shrinking
cotoasă	earwig
comișer	policeman
hambac	abacus
harfonistă	variety show actress.
pumnala	to stab with a dagger
pândeală	a lurk
pârâială	crackle
cicălos	nagging
cicală	nagger
ciordire	theft
ciuciulit	drenched
ciuciulire	drenching
ciuruială	sieving
ciuteică	treestump
dromateriu	dromatheriid
chintesențial	quintessential
bairactar	flag-bearer
balcic	muddy area
baltagiu	halberdier
barutană	powder mill, gunpowder warehouse
cobecciu	servant of the Ottoman palace
diloglan	translator apprentice
direclie	Spanish silver coin
dulapciu	cunning person
gelepciu	merchant
gerid	jereed
giuluș	accession to the throne
gulgulea	revolt, disorder
găigană	scrambled eggs
